排名,id,电影名,评分,主演,封面
1,1292052,肖申克的救赎,9.7,"蒂姆·罗宾斯, 摩根·弗里曼, 鲍勃·冈顿",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
2,1291546,霸王别姬,9.6,"张国荣, 张丰毅, 巩俐",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg
3,1292720,阿甘正传,9.5,"汤姆·汉克斯, 罗宾·怀特, 加里·西尼斯",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2559011361.jpg
4,1295644,这个杀手不太冷,9.4,"让·雷诺, 娜塔莉·波特曼, 加里·奥德曼",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg
5,1292063,美丽人生,9.5,"罗伯托·贝尼尼, 尼可莱塔·布拉斯基, 乔治·坎塔里尼",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p510861873.jpg
6,1292722,泰坦尼克号,9.4,"莱昂纳多·迪卡普里奥, 凯特·温丝莱特, 比利·赞恩",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg
7,1291561,千与千寻,9.3,"柊瑠美, 入野自由, 夏木真理",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg
8,1295124,辛德勒的名单,9.5,"连姆·尼森, 本·金斯利, 拉尔夫·费因斯",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg
9,3541415,盗梦空间,9.3,"莱昂纳多·迪卡普里奥, 约瑟夫·高登-莱维特, 艾伦·佩吉",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg
10,3011091,忠犬八公的故事,9.3,"理查·基尔, 萨拉·罗默尔, 琼·艾伦",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg
11,2131459,机器人总动员,9.3,"本·贝尔特, 艾丽莎·奈特, 杰夫·格尔林",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg
12,3793023,三傻大闹宝莱坞,9.2,"阿米尔·汗, 卡琳娜·卡普尔, 马达范",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg
13,1291549,放牛班的春天,9.3,"热拉尔·朱尼奥, 弗朗索瓦·贝莱昂, 凯德·麦拉德",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg
14,1292001,海上钢琴师,9.2,"蒂姆·罗斯, 普路特·泰勒·文斯, 比尔·努恩",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p511146807.jpg
15,1292064,楚门的世界,9.2,"金·凯瑞, 劳拉·琳妮, 艾德·哈里斯",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
16,1889243,星际穿越,9.3,"马修·麦康纳, 安妮·海瑟薇, 杰西卡·查斯坦",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg
17,1292213,大话西游之大圣娶亲,9.2,"周星驰, 吴孟达, 朱茵",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg
18,1291560,龙猫,9.2,"日高法子, 坂本千夏, 糸井重里",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg
19,5912992,熔炉,9.3,"孔侑, 郑有美, 金志映",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg
20,1291841,教父,9.3,"马龙·白兰度, 阿尔·帕西诺, 詹姆斯·肯恩",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg
